"","x"
"1",NA
"2",3.64469307779471
"3",2.03279290282514
"4",1.96173685007665
"5",NA
"6",5.64976756734226
"7",3.53582148899608
"8",NA
"9",NA
"10",NA
"11",2.03279290282514
"12",NA
"13",3.22385556675396
"14",NA
"15",NA
"16",2.3875427125009
"17",1.96173685007665
"18",NA
"19",3.52359090434695
"20",5.40153010181993
"21",2.1659354347993
"22",NA
"23",NA
"24",2.17496580024659
"25",3.52359090434695
"26",5.19141368304742
"27",2.62933648899007
"28",5.91389846143531
"29",4.43778555012703
"30",2.17496580024659
"31",3.95496718593536
"32",NA
"33",4.05178728885133
"34",2.39080273722361
"35",NA
"36",3.52359090434695
"37",2.37282561381198
"38",3.18588424725944
"39",NA
"40",NA
"41",2.17496580024659
"42",NA
"43",NA
"44",NA
"45",2.39080273722361
"46",3.64469307779471
"47",2.39080273722361
"48",4.5453500023277
"49",3.95496718593536
"50",1.65067306219129
"51",3.52359090434695
"52",NA
"53",3.8570408631848
"54",NA
"55",1.58872502378771
"56",1.84952040034558
"57",5.19141368304742
"58",4.10453453356485
"59",NA
"60",NA
"61",4.5453500023277
"62",NA
"63",2.39080273722361
"64",2.17496580024659
"65",2.03279290282514
"66",1.96173685007665
"67",3.52359090434695
"68",4.10453453356485
"69",NA
"70",3.52359090434695
"71",4.14862028125679
"72",2.37282561381198
"73",2.17496580024659
"74",5.1451295987888
"75",1.71059940710927
"76",2.70431845997292
"77",NA
"78",4.34476248636611
"79",4.43778555012703
"80",3.95496718593536
"81",0.938957400421286
"82",NA
"83",1.96173685007665
"84",1.96173685007665
"85",2.39080273722361
"86",3.38588357174178
"87",2.03279290282514
"88",4.53989598163296
"89",4.10453453356485
"90",4.53989598163296
"91",2.17496580024659
"92",NA
"93",NA
"94",2.72514770303965
"95",2.35071039962414
"96",3.03907767919904
"97",3.52359090434695
"98",3.38588357174178
"99",2.22469085717327
"100",NA
"101",2.39080273722361
"102",2.17496580024659
"103",3.52359090434695
"104",3.52359090434695
"105",2.39080273722361
"106",NA
"107",NA
"108",6.51291571294296
"109",5.78062522053913
"110",NA
"111",2.17496580024659
"112",3.52359090434695
"113",4.10453453356485
"114",2.17496580024659
"115",NA
"116",5.01379000419772
"117",5.01379000419772
"118",3.95496718593536
"119",1.43037319649212
"120",NA
"121",2.03279290282514
"122",NA
"123",2.49473686984532
"124",5.52097357448124
"125",1.86846854602411
"126",3.02815834755291
"127",1.96173685007665
"128",NA
"129",4.34476248636611
"130",1.86846854602411
"131",3.38588357174178
"132",4.73050424454207
"133",2.39080273722361
"134",3.11228499783218
"135",2.39080273722361
"136",4.05178728885133
"137",NA
"138",3.38588357174178
"139",7.18958297262526
"140",2.81129440867122
"141",1.86846854602411
"142",4.10453453356485
"143",2.39080273722361
"144",NA
"145",2.72514770303965
"146",1.71059940710927
"147",3.52359090434695
"148",3.95496718593536
"149",6.51291571294296
"150",1.65067306219129
"151",3.22385556675396
"152",2.39080273722361
"153",3.22385556675396
"154",NA
"155",NA
"156",NA
"157",2.81129440867122
"158",5.27374693449528
"159",2.39080273722361
"160",NA
"161",NA
"162",3.52359090434695
"163",NA
"164",4.05178728885133
"165",3.95496718593536
"166",3.38588357174178
"167",4.05178728885133
"168",6.51291571294296
"169",3.22385556675396
"170",NA
"171",5.1451295987888
"172",5.01379000419772
"173",NA
"174",NA
"175",NA
"176",5.78062522053913
"177",4.10453453356485
"178",NA
"179",2.72514770303965
"180",3.52359090434695
"181",2.35071039962414
"182",NA
"183",2.17496580024659
"184",3.22385556675396
"185",3.38588357174178
"186",2.03279290282514
"187",NA
"188",3.52359090434695
"189",NA
"190",NA
"191",5.01379000419772
"192",3.64469307779471
"193",3.8570408631848
"194",2.17496580024659
"195",4.43778555012703
"196",NA
"197",2.70431845997292
"198",2.72514770303965
"199",1.84952040034558
"200",2.37282561381198
"201",NA
"202",5.1451295987888
"203",NA
"204",3.64469307779471
"205",1.96173685007665
"206",4.64412223321429
"207",NA
"208",3.03907767919904
"209",2.51892267938689
"210",NA
"211",NA
"212",2.03626198530295
"213",4.34476248636611
"214",2.03279290282514
"215",5.1451295987888
"216",NA
"217",NA
"218",3.48505439399595
"219",NA
"220",2.17496580024659
"221",2.35071039962414
"222",1.96173685007665
"223",5.1451295987888
"224",NA
"225",3.52359090434695
"226",4.87694007520773
"227",NA
"228",NA
"229",NA
"230",NA
"231",4.05178728885133
"232",2.81129440867122
"233",1.65067306219129
"234",NA
"235",NA
"236",2.17496580024659
"237",1.96173685007665
"238",2.03279290282514
"239",2.37282561381198
"240",3.52359090434695
"241",3.38588357174178
"242",NA
"243",NA
"244",NA
"245",NA
"246",NA
"247",2.3875427125009
"248",2.17496580024659
"249",2.17496580024659
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",3.8570408631848
"256",6.51291571294296
"257",NA
"258",4.14862028125679
"259",2.39080273722361
"260",NA
"261",4.05178728885133
"262",5.78062522053913
"263",4.05178728885133
"264",2.17496580024659
"265",3.52359090434695
"266",3.22385556675396
"267",2.37282561381198
"268",3.18588424725944
"269",NA
"270",3.8570408631848
"271",NA
"272",3.38588357174178
"273",NA
"274",4.10453453356485
"275",2.44630399033064
"276",4.10453453356485
"277",NA
"278",2.17496580024659
"279",3.38588357174178
"280",2.72514770303965
"281",3.38588357174178
"282",NA
"283",NA
"284",3.65045979468846
"285",3.95496718593536
"286",4.10453453356485
"287",5.1451295987888
"288",6.51291571294296
"289",1.86846854602411
"290",3.38588357174178
"291",NA
"292",2.22469085717327
"293",NA
"294",NA
"295",2.81129440867122
"296",NA
"297",NA
"298",NA
"299",NA
"300",1.86846854602411
"301",4.34476248636611
"302",2.89137191134788
"303",1.71059940710927
"304",3.64469307779471
"305",5.1451295987888
"306",4.10453453356485
"307",2.81129440867122
"308",NA
"309",2.70431845997292
"310",NA
"311",2.72514770303965
"312",2.86994197578964
"313",2.03279290282514
"314",4.05178728885133
"315",1.43037319649212
"316",3.38588357174178
"317",NA
"318",NA
"319",2.72514770303965
"320",NA
"321",3.26032591748595
"322",1.96173685007665
"323",4.05178728885133
"324",4.10453453356485
"325",NA
"326",NA
"327",7.35836840018286
"328",4.64412223321429
"329",NA
"330",NA
"331",5.64976756734226
"332",4.34476248636611
"333",2.37282561381198
"334",2.81129440867122
"335",5.64976756734226
"336",3.95496718593536
"337",3.64469307779471
"338",NA
"339",NA
"340",NA
"341",4.05178728885133
"342",5.64976756734226
"343",3.64469307779471
"344",3.95496718593536
"345",3.18588424725944
"346",4.53989598163296
"347",3.64469307779471
"348",2.37282561381198
"349",3.64469307779471
"350",3.18588424725944
"351",2.39080273722361
"352",2.81129440867122
"353",2.03279290282514
"354",2.81129440867122
"355",3.52359090434695
"356",4.05178728885133
"357",1.05473109566611
"358",2.37282561381198
"359",2.39080273722361
"360",3.45560161293632
"361",5.64976756734226
"362",2.39080273722361
"363",4.14862028125679
"364",1.71059940710927
"365",NA
"366",NA
"367",2.39080273722361
"368",NA
"369",4.34476248636611
"370",3.38588357174178
"371",4.34476248636611
"372",NA
"373",2.35071039962414
"374",2.72514770303965
"375",1.65067306219129
"376",3.18588424725944
"377",2.17496580024659
"378",6.32498990620058
"379",2.37282561381198
"380",4.05178728885133
"381",2.03279290282514
"382",3.64469307779471
"383",4.05178728885133
"384",2.70431845997292
"385",2.17496580024659
"386",3.38588357174178
"387",5.01379000419772
"388",3.95496718593536
"389",0.298487903185937
"390",2.39080273722361
"391",NA
"392",1.43037319649212
"393",2.03279290282514
"394",2.50044809658385
"395",4.34476248636611
"396",NA
"397",4.34476248636611
"398",6.32498990620058
"399",2.72514770303965
"400",3.52359090434695
"401",2.72514770303965
"402",NA
"403",1.96173685007665
"404",4.05178728885133
"405",NA
"406",4.05178728885133
"407",4.5453500023277
"408",3.38588357174178
